,Unnamed: 0,Q,A
0,0,회원가입은 어떻게 하나요?,"회원가입 방법(가입대상, 가입방법, 영유아 및 초등학생/중고등학생 가입방법, 회원증재발급 등)의 자세한 내용은 아래 링크에서 확인할 수 있습니다."
1,1,영유아를 위한 공간이 있나요?,"1층 유아실 안에 아기쉼터가 있습니다. 아기와 보호자가 함께 할 수 있는 수유공간입니다. 아기쉼터 내부에 기저귀 교환대가 설치되어 있습니다. 유모차의 경우 도서관 안에 들어와도 괜찮습니다.다만 통행 및 어린이 안전을 위해 유모차 주차공간을 마련했습니다.도서관 내부 안내된 곳에 유모차를 세워주시고, 소지품 관리에 유의해주시기 바랍니다."
2,2,늘빛세미나실을 이용할 수 있나요?,"늘빛세미나실은 독서동아리 대관, 자원활동가 활동공간 및 프로그램 진행공간으로 활용됩니다. 개인적인 용도로는 대관을 하실 수 없는 점 양해 바랍니다.독서동아리 안내 및 개설관련 정보는 아래 링크를 눌러 확인하실 수 있습니다."
3,3,노트북이나 PC를 이용할 수 있나요?,"도서관 2층 자료실1의 노트북존에서 자유롭게 개인 노트북을 사용하실 수 있습니다. 자료열람석을 사용하면 되며, 별도의 좌석예약이 필요하지 않습니다."
4,4,도서관에 주차공간이 있나요?,"도서관 1층 주차장에 무료로 주차하실 수 있습니다.주차공간이 8면으로 협소하여, 대중교통 이용을 권장합니다."
5,5,도서관에 잡지나 신문이 있나요?,"1층 어린이자료실과 2층 자료실1에 각각 비치되어 있습니다. 어린이자료실에는 어린이와 보호자를 위한 잡지가, 자료실1에는 청소년과 성인을 위한 잡지와 신문이 있습니다."
6,6,도서관에서 빌려갈 수 없는 책이 있나요?,"각 자료실의 도서와 DVD를 모두 대출하실 수 있습니다.단, 아래와 같은 자료는 도서관 안에서만 볼 수 있습니다.각종 잡지와 신문참고도서 책등에 띠라벨  참고 로 표시 팝업도서 책등에 띠라벨  팝업 으로 표시 만화(윤슬길) 책등에 띠라벨  만화로 표시"
7,7,책을 기증하고 싶습니다 어떻게 하면 되지요?,"우리 도서관은 최근 5년 이내에 발간된 자료에 한해서 기증을 받고 있으며,운영시간 내 도서관으로 직접 책을 가지고 오시면 됩니다. 우편/택배 기증도 가능하나, 도서관 자료실과 미리 상의하시고, 기증도서임을 기재하시어 보내주시면 감사드리겠습니다. ※ 반납함, 무인반납기로는 기증도서를 받을 수 없습니다. 기증해주신 소중한 자료는 검토를 거쳐 다음과 같이 활용됩니다. 도서관 내 소장도서로 등록 희망하신 도서관으로 등록되지 않을 수 있습니다. 소장도서로 등록이 어려운 도서인 경우, 광진구 내 복지기관 및 작은도서관 등에 재기증 기타 도서관에서 활용 다만, 활용가치가 떨어지는 도서는 최종 심의 후 폐기 처리 가능합니다. 위의 사항을 동의해주셔야 기증신청이 가능함을 알려드립니다"
8,8,"희망도서 신청은 어떻게 해야하고, 신청한 도서는 언제쯤 볼 수 있나요?","도서관 홈페이지에 로그인 하신 후, 자료찾기 > 희망도서 신청에서  분기별로 1인당 3권씩 희망도서를 신청할 수 있습니다. 신청하신 도서는 매주 자료선정위원회에 상정하여 가결된 자료에 한하여 구입되며, 구입신청에서 완료까지는 2주에서 4주정도 소요됩니다."
9,9,"도서관에서 물건(지갑, 책 등...)을 잃어버렸습니다. 어떻게하죠?",도서관에 오셔서 물건을 분실하시거나 물건을 습득하신 이용자께서는 도서관 자료실 혹은 사무실에 반드시 신고하셔야 합니다.도서관에 신고된 분실물은 물건을 찾게 되면 신고하신 이용자께 연락을 드립니다. 도서관 방문 시에는 신분증을 지참하시기 바랍니다. 습득된 분실물은 1개월 보관 후에도 찾아가지 않으면 도서관 습득물처리규정에 의하여 홈페이지 공고(2주 간) 기간을 거쳐 폐기 처리합니다.
10,10,가족의 회원증을 대신 발급받고 싶습니다.,"가족이라도 대리 발급은 불가능함을 알려드립니다. 또한, 가입자의 나이가 미성년자인 만 14세 이하인 경우, 가입자와 보호자(법정대리인)의 본인확인 절차가 필요합니다. 회원증은 가족관계 확인 절차를 거쳐(주민등록등본, 건강보험증, 가족관계증명서 지참) 보호자가 대신 발급할 수 있습니다."
11,11,잡지는 대출할 수 있나요?,"도서관 잡지의 경우, 간행된 지 2달이 지난 잡지에 한해 1인 2점을 7일 동안 대출하실 수 있습니다. 단, 일반도서와 달리 상호대차 및 연장, 예약 불가능하며, 반납은 반드시 미디어자료실 데스크로 하셔야 합니다."
12,12,예전 신문이나 잡지를 보려면 어떻게 해야 하나요?,"도서관 미디어자료실 내 연속간행물 자료는 소장공간의 문제로 잡지, 신문 모두 당해년도를 포함한 최근 2년 내의 자료만 보관하고 있습니다. 전년도 자료는 소장공간의 문제로 따로 보관하고 있으므로, 열람을 원하시면 데스크에 비치된 과월호 열람대장을 작성하신 뒤 이용하실 수 있습니다."
13,13,"잡지를 찾으려고 하는데, 서가는 어떤 순서로 나열되어 있나요?","도서관 3층 미디어자료실 내 연속간행물 코너에서 잡지 열람이 가능하며, 도서관에서 구매하는 잡지(유가지)는 주황색 서가에, 기증되는 잡지는 흰색 서가에 비치되어 있습니다. 잡지는 가나다순으로 배열되어 있으며, 도서관 홈페이지에서 검색 가능합니다."
14,14,시험기간동안 공부를 하려 하는데 어느 열람실을 이용해야하나요? 이용가능한 시간과 방법도 알고 싶습니다.,"시험공부를 하시려면 도서관의 문화동 제1, 2열람실을 이용하시면 됩니다. 오시는 순서대로 무인좌석시스템을 이용하여 원하는 좌석을 지정 후 이용하시면 됩니다. 참고로 무인좌석시스템은 회원카드를 발급받으셔야만 이용 가능하며, 미리 발급받으시길 바랍니다."
15,15,최근에 출판된 책을 읽고 싶은데 도서관에서는 신간도서를 별도로 관리하고 있는지 알고 싶습니다.,도서관에 새로 입수된 자료는 홈페이지 ‘자료찾기 신착자료’에서 자료의 입수일자와 소장위치 등을 확인하실 수 있습니다. 신착자료 선택 시 여러 가지 조건을 통해 원하시는 도서를 검색 가능합니다.
16,16,질문차를 주차할 수 있는 공간이 얼마나 됩니까? 또 주차요금은 얼마인지 알고 싶어요.,"도서관은 도서관동 19면, 문화동 16면 총 35면의 주차공간이 있으며, 위치는 아래 사진으로 참고하시기 바랍니다."
