,Unnamed: 0.1,Unnamed: 0,title,keyword,category,score,author,publisher,reviewnum
0,0,0,정의란 무엇인가,철학 인문교양서 공리주의 자유지상주의 공동선 신념,"['국내도서 > 인문 > 인문학일반 > 인문교양', '국내도서 > 인문 > 철학 > 주제별철학 > 도덕철학', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",47/12/23/4/14,마이클 샌델 저자(글) · 김명철 번역 · 김선욱 감수,와이즈베리,1207.0
1,1,1,"왜요, 그 말이 어때서요?",습관 청소년 컷 만화 그림 작가 학벌 동안 저자,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",50/25/6/13/6,김청연 저자(글) · 코피루왁 그림/만화,동녘,20.0
2,2,2,나의 청와대 일기,거리 상황 세월 사람 정책 성공,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사'],17/17/0/17/50,윤재관 저자(글),한길사,12.0
3,3,3,중국은 어떻게 실패하는가,오늘날 전쟁 우주 전략 정치 미국,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 중국정치', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치', '국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계']",28/41/3/5/23,"마이클 베클리 , 할 브랜즈 저자(글) · 김종수 번역",부키,47.0
4,4,4,군주론,서양철학 움베르토 에코 군주 이탈리아어 열망 처세술,"['국내도서 > 인문 > 철학 > 서양철학자 > 마키아벨리', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",38/24/13/8/17,니콜로 마키아벨리 저자(글) · 김운찬 번역,현대지성,150.0
5,5,5,왜 어떤 정치인은 다른 정치인보다 위험한가,죽음 고통 경제 정치 동시 사실,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],0/50/0/25/25,제임스 길리건 저자(글) · 이희재 번역,교양인,5.0
6,6,6,국제개발협력 심화편,과학 발전 평화 행동 시리즈 과제,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],0/50/0/0/50,KOICA ODA 교육원 엮음,아이스크림미디어,3.0
7,7,7,노회찬 평전,정치 고통 친구 열정 운동 정신,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인', '국내도서 > 정치/사회 > 사회문제/복지 > 노동문제 > 노동문제일반']",22/11/0/11/56,이광호 저자(글) · 평등하고 공정한 나라 노회찬재단 기획,사회평론아카데미,30.0
8,8,8,지구를 살리는 기발한 물건 10,물건 청소년정치사회 역습 일회용품 사용 화석 연료,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",75/0/0/25/0,박경화 저자(글),한겨레출판사,4.0
9,9,9,어떤 호소의 말들,법률 브런치북대상 저자 약자 존재 마음,"['국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제', '국내도서 > 시/에세이 > 나라별 에세이 > 한국에세이', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 청소년 > 청소년 인문교양']",35/41/18/0/6,최은숙 저자(글),창비,25.0
10,10,10,이미 시작된 전쟁,중국 미국 전략 갈등 결정 대한민국,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 북한정치']",24/31/14/7/24,이철 저자(글),페이지2북스,32.0
